reaction_id	reaction_name	non_gpr_category	gapfill_provenance	blocked_gut_like	fva_min	fva_max	lower_bound_gut_like	upper_bound_gut_like
rxn00105_c0	ATP:nicotinamide-nucleotide adenylyltransferase	unresolved non-GPR reaction	Not assignable reaction-by-reaction from available summary log; see gapseq gap-filling provenance file.	False	-14.8125	29.62500000000008	-1000.0	1000.0
rxn00154_c0	pyruvate:NAD+ 2-oxidoreductase (CoA-acetylating)	unresolved non-GPR reaction	Not assignable reaction-by-reaction from available summary log; see gapseq gap-filling provenance file.	False	0.0	46.49999999999999	0.0	1000.0
rxn00175_c0	Acetate:CoA ligase (AMP-forming)	unresolved non-GPR reaction	Not assignable reaction-by-reaction from available summary log; see gapseq gap-filling provenance file.	False	0.0	59.24999999999999	0.0	1000.0
rxn00176_c0	acetyl adenylate:CoA acetyltransferase	unresolved non-GPR reaction	Not assignable reaction-by-reaction from available summary log; see gapseq gap-filling provenance file.	False	0.0	59.24999999999999	0.0	1000.0
rxn00226_c0	ATP:acetate adenylyltransferase	unresolved non-GPR reaction	Not assignable reaction-by-reaction from available summary log; see gapseq gap-filling provenance file.	False	0.0	59.24999999999999	0.0	1000.0
rxn00247_c0	ATP:oxaloacetate carboxy-lyase (transphosphorylating;phosphoenolpyruvate-forming)	unresolved non-GPR reaction	Not assignable reaction-by-reaction from available summary log; see gapseq gap-filling provenance file.	False	-66.75	51.250000000000064	-1000.0	1000.0
rxn00248_c0	(S)-malate:NAD+ oxidoreductase	unresolved non-GPR reaction	Not assignable reaction-by-reaction from available summary log; see gapseq gap-filling provenance file.	False	-68.75	1000.0	-1000.0	1000.0
rxn00285_c0	Succinate:CoA ligase (ADP-forming)	unresolved non-GPR reaction	Not assignable reaction-by-reaction from available summary log; see gapseq gap-filling provenance file.	False	-1000.0	1000.0	-1000.0	1000.0
rxn00292_c0	UDP-N-acetyl-D-glucosamine 2-epimerase	unresolved non-GPR reaction	Not assignable reaction-by-reaction from available summary log; see gapseq gap-filling provenance file.	False	0.0	5.771084337349398	0.0	1000.0
rxn00313_c0	meso-2,6-diaminoheptanedioate carboxy-lyase (L-lysine-forming)	unresolved non-GPR reaction	Not assignable reaction-by-reaction from available summary log; see gapseq gap-filling provenance file.	False	0.0	15.5	0.0	1000.0
rxn00395_c0	L-Arginine iminohydrolase	unresolved non-GPR reaction	Not assignable reaction-by-reaction from available summary log; see gapseq gap-filling provenance file.	False	0.0	29.625	0.0	1000.0
rxn00657_c0	beta-alanine:2-oxoglutarate aminotransferase	unresolved non-GPR reaction	Not assignable reaction-by-reaction from available summary log; see gapseq gap-filling provenance file.	False	-1000.0	47.833333333332575	-1000.0	1000.0
rxn00692_c0	5,10-Methylenetetrahydrofolate:glycine hydroxymethyltransferase	unresolved non-GPR reaction	Not assignable reaction-by-reaction from available summary log; see gapseq gap-filling provenance file.	False	-10.064516129032254	25.866666666666703	-1000.0	1000.0
rxn00777_c0	D-ribose-5-phosphate aldose-ketose-isomerase	unresolved non-GPR reaction	Not assignable reaction-by-reaction from available summary log; see gapseq gap-filling provenance file.	False	-1000.0	1000.0	-1000.0	1000.0
rxn00783_c0	2-dehydro-3-deoxy-D-galactonate-6-phosphate D-glyceraldehyde-3-phosphate-lyase (pyruvate-forming)	unresolved non-GPR reaction	Not assignable reaction-by-reaction from available summary log; see gapseq gap-filling provenance file.	False	0.0	23.666666666666657	-1000.0	1000.0
rxn00806_c0	L-Leucine:2-oxoglutarate aminotransferase	unresolved non-GPR reaction	Not assignable reaction-by-reaction from available summary log; see gapseq gap-filling provenance file.	False	-16.000000000000004	-0.0	-1000.0	1000.0
rxn00830_c0	Isopentenyl-diphosphate delta3-delta2-isomerase	unresolved non-GPR reaction	Not assignable reaction-by-reaction from available summary log; see gapseq gap-filling provenance file.	False	-0.1298881406128694	1000.0	-1000.0	1000.0
rxn00903_c0	L-Valine:2-oxoglutarate aminotransferase	unresolved non-GPR reaction	Not assignable reaction-by-reaction from available summary log; see gapseq gap-filling provenance file.	False	-20.769230769230766	-0.0	-1000.0	1000.0
rxn00908_c0	glycine synthase	unresolved non-GPR reaction	Not assignable reaction-by-reaction from available summary log; see gapseq gap-filling provenance file.	False	0.0	17.111111111111118	0.0	1000.0
rxn01104_c0	2,3-bisphospho-D-glycerate 2-phosphohydrolase	unresolved non-GPR reaction	Not assignable reaction-by-reaction from available summary log; see gapseq gap-filling provenance file.	False	0.0	49.25	0.0	1000.0
rxn01137_c0	Adenosine aminohydrolase	unresolved non-GPR reaction	Not assignable reaction-by-reaction from available summary log; see gapseq gap-filling provenance file.	False	0.0	19.75	0.0	1000.0
rxn01204_c0	4-aminobutanoate:2-oxoglutarate aminotransferase	unresolved non-GPR reaction	Not assignable reaction-by-reaction from available summary log; see gapseq gap-filling provenance file.	False	0.0	13.933333333333335	-1000.0	1000.0
